timestamp,tweet_text,username,all_hashtags,followers_count
2020-07-06 17:20:09,"China is the largest buyer of Brazilian pork, beef and chicken. It has requested that meat exporters globally certify their products are coronavirus free, which BRF, JBS, and other Brazilian meatpackers have already done. https://t.co/DunKNR7Vth",SuccessfulFarm,[],58185
2020-07-06 17:20:07,"https://t.co/iI8JplVENn ""disabled and chronically ill people will be intentionally passed over for medical care, and allowed to die of COVID-19 precisely because of our pre-existing disabilities or chronic illnesses"" #QAnons #COVIDIOTS #BlackDeath  #LGBTQ #GhislaineMaxwell",BeyondBroken11,"[u'QAnons', u'COVIDIOTS', u'BlackDeath', u'LGBTQ', u'GhislaineMaxwell']",9
2020-07-06 17:20:06,Here's what we’re doing — and what we need you to do — to prevent spread of COVID-19. https://t.co/tFgCoWHI5e https://t.co/LOC2fRJOPq,metrolosangeles,[],109290
2020-07-06 17:20:04,"The Louisiana Department of Health reported an increase of 1,101 new COVID-19 cases Monday, bringing the total of known cases to 66,327 statewide.  https://t.co/qzHEYrBdZ3",KTBS,[],47805
2020-07-06 17:20:03,"@ceybird Hello, updates about these subjects have been in our dedicated COVID-19 pages https://t.co/s5lTgv4UH5 ^JE",BrittanyFerries,[],33711
2020-07-06 17:20:03,"In at least 10 cases, certificates from the Italian company Ente Certificazione Macchine were issued for COVID-19 protective equipment that failed tests or was subject to safety alerts. #certifiedfakes https://t.co/fa9rnGAZY2 https://t.co/OuW9JoyAk4",OCCRP,[u'certifiedfakes'],61484
2020-07-06 17:19:55,UK coronavirus live: Johnson criticised after claiming care homes did not follow procedures during Covid crisis https://t.co/2rWuY5fEpw,francjonsn,[],2197
2020-07-06 17:19:54,"@moyesy Hi Sarah, we know there are legitimate reasons why some customers cannot wear face coverings. Passenger exemptions are not the responsibility of our driving team to enforce - customers be responsible and comply in full unless medically exempt: https://t.co/8FkH6P09iA https://t.co/y8rZqvKDu1",on_lothianbuses,[],99397
2020-07-06 17:19:52,New York's Cuomo pleads with Trump to acknowledge COVID-19 as 'major problem' https://t.co/zG1pXDzlAn,MissingMardiGra,[],52
2020-07-06 17:19:49,"😮.  This isn't good. Is immunity that short lived? Bad test?   ""the key finding from these representative cohorts is that most of the population appears to have remained unexposed"" to Covid-19, ""even in areas with widespread virus circulation,"" https://t.co/bEacn1Upbq",srikosuri,[],6243
2020-07-06 17:19:48,"Sub-saharan Africa 'just at the start' of its pandemic, UK aid department warns https://t.co/tMauJnLYij",joncstone,[],45990
2020-07-06 17:19:43,Supporting teachers during the COVID-19 (coronavirus) pandemic https://t.co/upaiTeblsW via @WorldBank,TusomeAfrica,[],198
2020-07-06 17:19:43,@IngramSmith This is why it won’t be.  And no one cares about the Ivy League.  https://t.co/In583gbkvJ,TMoneyNoles,[],20
2020-07-06 17:19:36,"SRINAGAR: Jammu and Kashmir on Monday recorded 246 new COVID-19 cases, taking the total number of coronavirus infected people in the union territory to 8,675, officials said.  Read more at: https://t.co/q2YAO29KCF https://t.co/gp0lqoQrqy",JAMMULINKS,[],34618
2020-07-06 17:19:33,"Trump's tweet shows that he is much better off criticizing serious work from outside. #GOP is going down with him. Everyone has seen that he is heartless, racist, and possibly a traitor.  He is surviving because #GOP is scared of his tweeting.  #COVIDー19 #Covid_19 #coronavirus https://t.co/Cv7lXmgs4E",EmilyMach5,"[u'GOP', u'GOP', u'COVID\u30fc19', u'Covid_19', u'coronavirus']",106
2020-07-06 17:19:32,An ancient drug shows promise against severe Covid-19 https://t.co/NiF49AUqUE,racinefleur,[],888
2020-07-06 17:19:31,"Real-time covid-19 coronavirus pandemic ... Outbreaks have increased exponentially to people's stupidity... #Texas #California #Florida In the #USA 50,000 cases per day... cases/deaths 1°🇺🇸 3,004,225/132,602 #CoronavirusUSA https://t.co/UnhZugiYv1",tocamelaotravez,"[u'Texas', u'California', u'Florida', u'USA', u'CoronavirusUSA']",181
2020-07-06 17:19:26,"When checking the Johns Hopkins Coronavirus page this morning, I was struck by the number of reported COVID-19 deaths in China: 4,641. https://t.co/U8IbMQI6xX",ericaephillips,[],6085
2020-07-06 17:19:25,@chrislhayes @cwarzel @TPCarney Could also be a good time to move away from binary thinking and recognize that there's a great deal of suffering that isn't captured by media scoreboards: https://t.co/GYvNabJAJP,nbialos,[],156
2020-07-06 17:19:17,A woman who lives in the southeast quadrant of Cattaraugus County and is a health care worker at a Gowanda nursing home is the 97th county resident to test positive for the coronavirus. Story by @Mike_Hogan42    https://t.co/vnlIXINK2j,GreaterOleanTAP,[],661
2020-07-06 17:19:17,"""THE SCIENCE IS SETTLED!"" ""We think."" ""Mostly."" ""Well... wait... let's have a look."" ""OKAY... NOW WE MEAN IT! THE SCIENCE IS SETTLED!"" ""Wait... what?"" ""Hold on...""  WHO says reviewing NYT article on concerns over airborne spread of COVID-19 https://t.co/aOVCwjYuDF",bostonwriter,[],4784
2020-07-06 17:19:15,You got that right 😢😭🤯😬 This world is not the same anymore and I wonder why they did it.. I will never understand why.. #Covid_19 #COVIDー19 #COVID19KE #covid19kenya #coronavirus https://t.co/RyICkrLuX0,LitalLital7987,"[u'Covid_19', u'COVID\u30fc19', u'COVID19KE', u'covid19kenya', u'coronavirus']",6268
2020-07-06 17:19:11,So I read this and heard about the Broadway actor who just died from covid-19 and had mini strokes while in the hospital. Holy cow are we screw... https://t.co/Y0ddR0uj8y,CCGomez,[],47
2020-07-06 17:19:11,"ICYMI: 5 Minnesota couples died just days apart from COVID-19 and left behind shocked, grieving families https://t.co/cSuq4grRGA https://t.co/HfyxI6uEBQ",PAL_EchoJournal,[],889
2020-07-06 17:19:10,Trump makes #Covid_19 a joke because HE himself is a joke; there's nothing but utter BULL💩 coming out of his mouth. USA...seriously...vote smarter this time around!!   Doctor Fact-Checks President Trump On #Coronavirus https://t.co/cC5rniAUNJ via @YouTube  @RealDoctorMike,SAspihesi,"[u'Covid_19', u'Coronavirus']",1384
2020-07-06 17:19:08,"""Catalent Plant in Italy Will Help Produce J&amp;J's Potential COVID-19 Vaccine: Minister"" by Reuters via NYT https://t.co/4l9Yg3J2rq",bowethery,[],553
2020-07-06 17:19:00,"Florida's largest county is again closing its restaurants to sit-down dining, gyms and other indoor venues weeks after they reopened because a spike in coronavirus cases is creating a shortage of intensive care unit beds at its hospitals. https://t.co/CBccXgV6mU",news6wkmg,[],139877
2020-07-06 17:18:59,"welp there goes that   Spain's large-scale study on the coronavirus indicates just 5% of its population has developed antibodies, strengthening evidence that a so-called herd immunity to Covid-19 is ""unachievable,"".  https://t.co/57v26PQi9O",j_drago,[],1780
2020-07-06 17:18:57,"Reasons you don't want a new virus, that is being revealed, as we speak.   Cavalier?   This is a #virus you do not want exposure.  Think of it like #Ebola (Google it if you don't remember) Here’s What Recovery From Covid-19 Looks Like for Many Survivors https://t.co/kuO4PvAOxX",nurse4change,"[u'virus', u'Ebola']",2645
2020-07-06 17:18:57,"Akufo-Addo is tired, we’re all tired of COVID-19 - Health Minister #coronavirus https://t.co/qmuhVGkiNB",globe_paces,[u'coronavirus'],1190
2020-07-06 17:18:56,"@MarkMeadows ""99%"" of coronavirus cases are ""totally harmless."" Even if COVID 19 doesn't kill you as it has over 500,000 worldwide so far and counting, it will leave residual damage to lungs and legs and more. SOMEONE with B's needs to tell the occupant to STFU, that's YOU, chief. https://t.co/MBtbYXyrvt",thebramblemen,[],187
2020-07-06 17:18:55,"Below is the most recent information emailed to residents a few days ago. Updates include info about addendum deadline extension, testing costs and other details.  https://t.co/nuW00jfTc5",UCFHousing,[],2640
2020-07-06 17:18:51,#Drones have become an important tool in fighting the #COVID19 pandemic #TransportServices #technology #innovation  COVID-19 is driving the Golden Age of drone delivery https://t.co/snjepMfkXN via @wef,virengos,"[u'Drones', u'COVID19', u'TransportServices', u'technology', u'innovation']",797
2020-07-06 17:18:50,Coronavirus - Namibia: COVID-19 Surveillance and Contact Tracing for Namibia   @WHO @MoetiTshidi @WHOAFRO @DrTedros   Read More: https://t.co/MPXQnltLqq  #Africa #Namibia #COVID19 #Coronavirus #Health https://t.co/vQSAO1imL8,APO_source,"[u'Africa', u'Namibia', u'COVID19', u'Coronavirus', u'Health']",10616
2020-07-06 17:18:42,"25 new local coronavirus cases, 39 new recoveries  https://t.co/uskuiyf8JS",kglonews,[],1646
2020-07-06 17:18:40,"@soloyochapin @mmpadellan @realDonaldTrump The list of crimes and fraud of the Chinese government and a very small part of the damage caused by the sale of counterfeit equipment to fight against Corona and Bruce, to other countries. 1.👇👇👇 https://t.co/SIdkejiEBI #ChineseVirus",mamal0_0,[u'ChineseVirus'],931
2020-07-06 17:18:39,"COVID-19 news, Mon 6 Jul:   1. A response to the NYT article about aerosol transmission of Coronavirus, positing that droplet vs. airborne is a false dichotomy (@dan_diekema) https://t.co/d8BpLTABr7",covidpath,[],590
2020-07-06 17:18:38,Employment lawsuits will rise sharply due to the coronavirus pandemic. Here are state and federal regulations you must be aware of and the steps you can take to prevent getting sued.  https://t.co/NCK71lEu7p  #compliance #riskmanagement #litigation #layoffs #employmentlaw,sacattorneysllp,"[u'compliance', u'riskmanagement', u'litigation', u'layoffs', u'employmentlaw']",36
